"Step","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MAX"
"51","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8645833333333334","0.8645833333333334","0.8645833333333334","","","","0.7706330128205128","0.7706330128205128","0.7706330128205128","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"52","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","0.7682291666666666","0.7682291666666666","0.7682291666666666","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"53","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","0.7754407051282052","0.7754407051282052","0.7754407051282052","","","","0.78125","0.78125","0.78125"
"54","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8645833333333334","0.8645833333333334","0.8645833333333334","","","","0.7638221153846154","0.7638221153846154","0.7638221153846154","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"56","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8645833333333334","0.8645833333333334","0.8645833333333334","","","","0.7674278846153846","0.7674278846153846","0.7674278846153846","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"57","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","0.7672275641025641","0.7672275641025641","0.7672275641025641","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"58","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8633814102564102","0.8633814102564102","0.8633814102564102","","","","0.7668269230769231","0.7668269230769231","0.7668269230769231","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"59","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8645833333333334","0.8645833333333334","0.8645833333333334","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"61","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"62","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.772636217948718","0.772636217948718","0.772636217948718","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"63","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.7724358974358975","0.7724358974358975","0.7724358974358975","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"64","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.772636217948718","0.772636217948718","0.772636217948718","","","","0.7932692307692307","0.7932692307692307","0.7932692307692307"
"66","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7712339743589743","0.7712339743589743","0.7712339743589743","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"67","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"68","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"69","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"71","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8633814102564102","0.8633814102564102","0.8633814102564102","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"72","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8633814102564102","0.8633814102564102","0.8633814102564102","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"73","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8621794871794872","0.8621794871794872","0.8621794871794872","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"74","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8633814102564102","0.8633814102564102","0.8633814102564102","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.78125","0.78125","0.78125"
"76","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7736378205128205","0.7736378205128205","0.7736378205128205","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"77","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8621794871794872","0.8621794871794872","0.8621794871794872","","","","0.772636217948718","0.772636217948718","0.772636217948718","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"78","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7748397435897436","0.7748397435897436","0.7748397435897436","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"79","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8637820512820513","0.8637820512820513","0.8637820512820513","","","","0.7706330128205128","0.7706330128205128","0.7706330128205128","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"81","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8623798076923077","0.8623798076923077","0.8623798076923077","","","","0.7678285256410257","0.7678285256410257","0.7678285256410257","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"82","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"83","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7678285256410257","0.7678285256410257","0.7678285256410257","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"84","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"86","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8609775641025641","0.8609775641025641","0.8609775641025641","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.78125","0.78125","0.78125"
"87","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8635817307692307","0.8635817307692307","0.8635817307692307","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.78125","0.78125","0.78125"
"88","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8623798076923077","0.8623798076923077","0.8623798076923077","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"89","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8609775641025641","0.8609775641025641","0.8609775641025641","","","","0.7680288461538461","0.7680288461538461","0.7680288461538461","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
