step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,head_groups,step_time_ms,eval_time_s
4650,6.667226,3092.70,0.00,,,2019.72,,,,,,,,,,,513.75,
4700,6.781516,5077.84,0.00,,,2019.72,,,,,,,,,,,700.88,
4750,6.620491,4246.77,0.00,,,2019.72,,,,,,,,,,,628.24,
4800,6.733158,5006.19,0.00,,,2019.72,,,,,,,,,,,523.17,
4800,,,,6.697138,810.0843
4850,6.674893,3674.76,0.00,,,2019.72,,,,,,,,,,,555.69,
4900,6.731003,5630.98,0.00,,,2019.72,,,,,,,,,,,526.78,
4950,6.920263,5760.79,0.00,,,2019.72,,,,,,,,,,,524.19,
5000,6.592333,5577.81,0.00,,,2019.72,,,,,,,,,,,552.90,
5000,,,,6.682825,798.5721
5050,6.888455,3447.97,0.00,,,2019.72,,,,,,,,,,,582.83,
5100,6.657331,5212.30,0.00,,,2019.72,,,,,,,,,,,546.98,
5150,6.387394,5052.38,0.00,,,2019.72,,,,,,,,,,,533.00,
5200,6.591495,4945.34,0.00,,,2019.72,,,,,,,,,,,622.99,
5200,,,,6.669119,787.7010
5250,6.719261,3678.93,0.00,,,2019.72,,,,,,,,,,,546.55,
5300,6.690465,5701.99,0.00,,,2019.72,,,,,,,,,,,540.19,
5350,6.627317,4416.60,0.00,,,2019.72,,,,,,,,,,,642.56,
5400,6.655800,3757.07,0.00,,,2019.72,,,,,,,,,,,702.35,
5400,,,,6.659303,780.0069
5450,6.747801,2424.10,0.00,,,2019.72,,,,,,,,,,,580.81,
5500,6.643741,4976.53,0.00,,,2019.72,,,,,,,,,,,946.02,
5550,6.688997,4539.21,0.00,,,2019.72,,,,,,,,,,,625.21,
5600,6.753880,4245.62,0.00,,,2019.72,,,,,,,,,,,1323.24,
5600,,,,6.658202,779.1490
5650,6.713368,2391.02,0.00,,,2019.72,,,,,,,,,,,564.70,
5700,6.684546,5090.81,0.00,,,2019.72,,,,,,,,,,,624.79,
5750,6.770516,4515.53,0.00,,,2019.72,,,,,,,,,,,803.68,
5800,6.565789,4837.11,0.00,,,2019.72,,,,,,,,,,,629.23,
5800,,,,6.637935,763.5168
5850,6.551340,2924.31,0.00,,,2019.72,,,,,,,,,,,636.60,
5900,6.724732,5057.33,0.00,,,2019.72,,,,,,,,,,,640.80,
5950,6.490517,4269.28,0.00,,,2019.72,,,,,,,,,,,724.84,
6000,6.710846,4621.54,0.00,,,2019.72,,,,,,,,,,,720.06,
6000,,,,6.621810,751.3041
6050,6.816793,2556.80,0.00,,,2019.72,,,,,,,,,,,655.00,
6100,6.607326,4120.43,0.00,,,2019.72,,,,,,,,,,,618.57,
6150,6.705018,4897.86,0.00,,,2019.72,,,,,,,,,,,601.13,
6200,6.575142,4443.83,0.00,,,2019.72,,,,,,,,,,,601.96,
6200,,,,6.619623,749.6625
6250,6.663054,2602.86,0.00,,,2019.72,,,,,,,,,,,627.14,
6300,6.724236,4759.30,0.00,,,2019.72,,,,,,,,,,,687.28,
6350,6.539547,4189.91,0.00,,,2019.72,,,,,,,,,,,600.03,
6400,6.712423,4961.02,0.00,,,2019.72,,,,,,,,,,,626.04,
6400,,,,6.602617,737.0213
6450,6.782693,2768.60,0.00,,,2019.72,,,,,,,,,,,707.06,
6500,6.498342,4897.99,0.00,,,2019.72,,,,,,,,,,,578.12,
6550,6.520399,3806.93,0.00,,,2019.72,,,,,,,,,,,622.74,
6600,6.385704,4649.98,0.00,,,2019.72,,,,,,,,,,,597.51,
6600,,,,6.599186,734.4972
6650,6.225972,1289.39,0.00,,,2019.72,,,,,,,,,,,811.94,
6700,6.594145,4116.24,0.00,,,2019.72,,,,,,,,,,,649.39,
6750,6.581033,4721.07,0.00,,,2019.72,,,,,,,,,,,993.98,
6800,6.841862,2487.08,0.00,,,2019.72,,,,,,,,,,,617.08,
6800,,,,6.586945,725.5611
6850,6.526383,2199.63,0.00,,,2019.72,,,,,,,,,,,1519.26,
6900,6.499298,3098.99,0.00,,,2019.72,,,,,,,,,,,638.96,
6950,6.355792,4610.12,0.00,,,2019.72,,,,,,,,,,,632.49,
7000,6.595238,4930.83,0.00,,,2019.72,,,,,,,,,,,679.17,
7000,,,,6.577492,718.7348
7050,6.567908,2103.43,0.00,,,2019.72,,,,,,,,,,,590.53,
7100,6.740084,4897.56,0.00,,,2019.72,,,,,,,,,,,620.87,
7150,6.491518,2198.36,0.00,,,2019.72,,,,,,,,,,,580.33,
7200,6.681184,4780.48,0.00,,,2019.72,,,,,,,,,,,702.92,
7200,,,,6.571636,714.5375
7250,6.521508,3117.68,0.00,,,2019.72,,,,,,,,,,,626.17,
7300,6.526783,4967.18,0.00,,,2019.72,,,,,,,,,,,582.97,
7350,6.415067,4921.76,0.00,,,2019.72,,,,,,,,,,,650.99,
7400,6.492105,3767.87,0.00,,,2019.72,,,,,,,,,,,686.77,
7400,,,,6.563745,708.9215
7450,6.418292,2302.61,0.00,,,2019.72,,,,,,,,,,,750.80,
7500,6.390091,4746.15,0.00,,,2019.72,,,,,,,,,,,652.16,
7550,6.468733,4776.53,0.00,,,2019.72,,,,,,,,,,,677.03,
7600,6.640213,4783.24,0.00,,,2019.72,,,,,,,,,,,658.03,
7600,,,,6.555517,703.1125
7650,6.411518,3184.51,0.00,,,2019.72,,,,,,,,,,,635.96,
7700,6.384070,2785.28,0.00,,,2019.72,,,,,,,,,,,687.69,
7750,6.469049,5171.23,0.00,,,2019.72,,,,,,,,,,,599.59,
7800,6.433012,5269.84,0.00,,,2019.72,,,,,,,,,,,592.61,
7800,,,,6.546795,697.0064
7850,6.520661,2992.83,0.00,,,2019.72,,,,,,,,,,,637.77,
7900,6.643759,4896.39,0.00,,,2019.72,,,,,,,,,,,630.41,
7950,6.555573,4861.81,0.00,,,2019.72,,,,,,,,,,,639.66,
8000,6.423796,4898.53,0.00,,,2019.72,,,,,,,,,,,643.49,
8000,,,,6.548793,698.4008
8050,6.438731,3570.02,0.00,,,2019.72,,,,,,,,,,,520.56,
8100,6.284235,5835.84,0.00,,,2019.72,,,,,,,,,,,525.02,
8150,6.578951,5822.32,0.00,,,2019.72,,,,,,,,,,,515.70,
8200,6.387022,5821.88,0.00,,,2019.72,,,,,,,,,,,516.65,
8200,,,,6.541061,693.0213
8250,6.479735,3778.30,0.00,,,2019.72,,,,,,,,,,,570.68,
8300,6.368456,4884.81,0.00,,,2019.72,,,,,,,,,,,525.61,
8350,6.314279,5817.48,0.00,,,2019.72,,,,,,,,,,,529.80,
8400,6.351396,5759.70,0.00,,,2019.72,,,,,,,,,,,531.21,
8400,,,,6.541334,693.2105
