step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
1750,9.049720,12049.78,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.43,
1800,13.663742,10278.90,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,35.19,
1850,13.389286,12048.08,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.69,
1900,12.105945,10270.66,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.96,
1950,11.315828,12052.55,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,37.59,
2000,11.265252,10270.81,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.67,
2000,,,,8.292991,3995.7689
2050,10.700219,8170.25,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.53,
2100,10.836374,12031.19,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.57,
2150,10.455132,10277.07,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.22,
2200,10.320250,12054.20,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.82,
2250,10.315454,10252.12,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.54,
2300,10.164288,12136.19,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.34,
2350,10.396838,10187.57,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.43,
2400,10.038145,12259.24,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.83,
2450,10.122694,10125.74,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.12,
2500,9.896623,12276.93,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.62,
2500,,,,7.711790,2234.5392
2550,10.070139,8011.10,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.59,
2600,9.854772,10391.58,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.65,
2650,9.816568,12265.18,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.91,
2700,9.762982,10017.26,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.00,
2750,9.712693,11957.70,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.85,
2800,9.630051,10461.44,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.78,
2850,9.892092,12105.86,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.05,
2900,9.689951,10154.37,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.53,
2950,9.714740,12013.53,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.41,
3000,9.588428,10310.51,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.72,
3000,,,,7.618482,2035.4696
3050,9.431709,9240.78,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.55,
