step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
1400,8.822194,5017.16,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2988.48,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.56,
1450,10.762835,5054.47,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2982.86,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.90,
1500,8.727751,5057.40,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2985.13,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.19,
1500,,,,7.588807,1975.9545
1550,8.547379,4668.83,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2994.74,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.69,
1600,8.433279,5036.01,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2999.29,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,58.69,
1650,8.295479,5071.79,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2990.72,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.05,
1700,8.285849,5029.96,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2992.52,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.64,
1750,8.075212,4998.88,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2987.91,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.83,
1800,8.423937,5059.54,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2990.72,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.54,
1850,8.509655,5023.20,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2988.20,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.92,
