step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,step_time_ms,eval_time_s
900,9.707739,4827.93,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6959,0.6890,0.6477,0.6130,0.7258,0.7035,0.6375,0.7108,0.6971,0.7195,0.6631,0.6734,0.7558,0.6842,0.7202,0.6736,0.7473,0.7463,0.7090,0.7471,0.7415,0.7128,0.7460,0.7466,0.8115,0.8123,0.8122,0.8129,0.8122,0.8127,0.8122,0.8126,0.8124,0.8124,0.8117,0.8121,0.8122,0.8124,0.8126,0.8116,0.8238,0.8241,0.8240,0.8239,0.8239,0.8239,0.8239,0.8242,0.7496,0.7488,0.7480,0.7488,0.7482,0.7485,0.7496,0.7495,0.8124,0.8126,0.8126,0.8135,0.8126,0.8120,0.8127,0.8128",731.61,
950,9.816354,4833.30,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6964,0.6782,0.6381,0.5968,0.7201,0.7055,0.6346,0.7087,0.7194,0.7332,0.6837,0.7159,0.7706,0.7019,0.7465,0.7166,0.7477,0.7474,0.7175,0.7486,0.7357,0.7306,0.7470,0.7468,0.8119,0.8120,0.8124,0.8121,0.8121,0.8125,0.8126,0.8122,0.8128,0.8123,0.8124,0.8126,0.8116,0.8123,0.8127,0.8129,0.8235,0.8244,0.8239,0.8241,0.8243,0.8237,0.8233,0.8240,0.7484,0.7487,0.7490,0.7490,0.7479,0.7488,0.7482,0.7494,0.8120,0.8120,0.8126,0.8131,0.8124,0.8124,0.8122,0.8128",754.10,
1000,9.382906,4819.29,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6993,0.6566,0.6384,0.5941,0.7135,0.6925,0.6268,0.6956,0.7251,0.7291,0.6922,0.7236,0.7726,0.7111,0.7454,0.7353,0.7487,0.7476,0.6851,0.7486,0.7383,0.7042,0.7468,0.7476,0.8123,0.8124,0.8127,0.8124,0.8121,0.8122,0.8129,0.8129,0.8124,0.8124,0.8126,0.8126,0.8123,0.8122,0.8122,0.8118,0.8242,0.8236,0.8238,0.8237,0.8242,0.8242,0.8240,0.8234,0.7478,0.7484,0.7491,0.7492,0.7491,0.7489,0.7490,0.7491,0.8120,0.8124,0.8123,0.8126,0.8121,0.8134,0.8129,0.8130",749.68,
1000,,,,8.316306,4090.0227
1050,9.366520,3180.15,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6857,0.6477,0.6297,0.6039,0.7132,0.6998,0.6263,0.6958,0.7380,0.7362,0.6920,0.7357,0.7799,0.7192,0.7569,0.7445,0.7493,0.7473,0.7076,0.7489,0.7422,0.7243,0.7466,0.7471,0.8126,0.8126,0.8117,0.8126,0.8116,0.8122,0.8120,0.8122,0.8124,0.8121,0.8128,0.8124,0.8131,0.8119,0.8118,0.8123,0.8241,0.8242,0.8243,0.8243,0.8244,0.8242,0.8247,0.8242,0.7494,0.7487,0.7498,0.7487,0.7490,0.7489,0.7489,0.7492,0.8127,0.8127,0.8127,0.8129,0.8123,0.8131,0.8122,0.8126",741.63,
1100,9.294914,4837.11,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6787,0.6446,0.6263,0.5999,0.7152,0.6878,0.6307,0.6965,0.7279,0.7329,0.6856,0.7164,0.7778,0.7031,0.7595,0.7318,0.7492,0.7475,0.6849,0.7488,0.7423,0.6175,0.7469,0.7460,0.8119,0.8127,0.8124,0.8126,0.8128,0.8120,0.8118,0.8116,0.8124,0.8130,0.8120,0.8121,0.8121,0.8122,0.8123,0.8126,0.8241,0.8241,0.8229,0.8244,0.8242,0.8235,0.8247,0.8247,0.7497,0.7494,0.7486,0.7487,0.7480,0.7487,0.7501,0.7500,0.8119,0.8134,0.8125,0.8126,0.8120,0.8132,0.8133,0.8128",736.68,
1150,9.275358,4842.09,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6863,0.6420,0.6340,0.5967,0.7129,0.6889,0.6314,0.6851,0.7263,0.7373,0.6948,0.7279,0.7807,0.7130,0.7669,0.7420,0.7480,0.7477,0.6491,0.7480,0.7347,0.6877,0.7476,0.7478,0.8133,0.8128,0.8127,0.8131,0.8115,0.8125,0.8127,0.8127,0.8128,0.8120,0.8125,0.8127,0.8118,0.8115,0.8124,0.8131,0.8239,0.8239,0.8243,0.8237,0.8244,0.8241,0.8238,0.8241,0.7501,0.7487,0.7497,0.7498,0.7495,0.7486,0.7494,0.7495,0.8126,0.8127,0.8131,0.8123,0.8123,0.8129,0.8128,0.8128",741.34,
1200,9.275339,4387.26,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6782,0.6351,0.6208,0.5866,0.7132,0.6886,0.6281,0.6802,0.7259,0.7396,0.7031,0.7400,0.7834,0.7212,0.7729,0.7518,0.7497,0.7484,0.6370,0.7483,0.7295,0.7134,0.7475,0.7460,0.8124,0.8119,0.8123,0.8124,0.8122,0.8122,0.8125,0.8114,0.8119,0.8116,0.8125,0.8122,0.8130,0.8131,0.8125,0.8123,0.8238,0.8241,0.8243,0.8241,0.8238,0.8241,0.8237,0.8232,0.7482,0.7489,0.7494,0.7484,0.7495,0.7492,0.7493,0.7487,0.8126,0.8125,0.8120,0.8124,0.8123,0.8122,0.8137,0.8123",753.56,
1200,,,,8.033201,3081.5898
1250,9.048813,3181.76,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.6788,0.6271,0.6304,0.6007,0.7086,0.6899,0.6286,0.6843,0.7178,0.7435,0.7143,0.7422,0.7869,0.7197,0.7751,0.7586,0.7491,0.7481,0.6114,0.7477,0.7351,0.6764,0.7467,0.7476,0.8120,0.8122,0.8122,0.8122,0.8128,0.8124,0.8120,0.8121,0.8119,0.8116,0.8126,0.8123,0.8120,0.8126,0.8118,0.8128,0.8246,0.8231,0.8237,0.8242,0.8243,0.8237,0.8239,0.8236,0.7497,0.7490,0.7490,0.7496,0.7497,0.7488,0.7496,0.7490,0.8128,0.8121,0.8131,0.8130,0.8126,0.8124,0.8126,0.8126",755.05,
