step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
3900,6.912341,5399.28,2029.14,,,2029.14,104.00,407192.58,,,,69.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.91,
3950,6.904292,5409.35,2029.14,,,2029.14,102.45,407192.58,,,,67.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.64,
4000,6.834957,5415.16,2029.14,,,2029.14,101.62,407192.58,,,,66.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.49,
4000,,,,6.761049,863.5476
4050,6.876819,3626.13,2029.14,,,2029.14,102.20,407192.58,,,,67.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.78,
4100,6.927665,5385.68,2029.14,,,2029.14,99.03,407192.58,,,,64.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.54,
4150,6.871164,4711.37,2029.14,,,2029.14,94.48,407192.03,,,,59.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.11,
4200,6.874359,5389.04,2029.14,,,2029.14,99.67,407192.58,,,,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.74,
4250,6.774279,5404.25,2029.14,,,2029.14,100.88,407192.58,,,,66.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.21,
4300,6.841469,5407.01,2029.14,,,2029.14,101.70,407192.58,,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.05,
4350,6.992987,5394.56,2029.14,,,2029.14,103.02,407192.58,,,,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.13,
4400,6.863208,5400.76,2029.14,,,2029.14,102.48,407192.58,,,,67.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.53,
4450,6.740007,5423.66,2029.14,,,2029.14,93.14,407192.58,,,,58.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.95,
4500,6.692550,5396.19,2029.14,,,2029.14,102.39,407192.58,,,,67.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.65,
4500,,,,6.718585,827.6457
4550,6.739726,3737.84,2029.14,,,2029.14,98.30,407192.03,,,,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.92,
4600,6.727721,5398.45,2029.14,,,2029.14,101.81,407192.58,,,,66.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.53,
4650,6.789585,5420.21,2029.14,,,2029.14,100.27,407192.58,,,,65.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.49,
4700,6.746065,5428.78,2029.14,,,2029.14,103.09,407192.58,,,,67.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.58,
4750,6.737772,4681.23,2029.14,,,2029.14,101.36,407192.58,,,,65.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.07,
4800,6.716916,5417.52,2029.14,,,2029.14,103.06,407192.58,,,,67.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.25,
4850,6.817499,5388.31,2029.14,,,2029.14,99.45,407192.58,,,,65.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.47,
4900,6.543738,5395.04,2029.14,,,2029.14,100.34,407192.58,,,,65.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.93,
4950,6.604213,5381.71,2029.14,,,2029.14,102.19,407192.58,,,,66.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.70,
5000,6.690287,5404.24,2029.14,,,2029.14,102.52,407192.58,,,,67.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.79,
5000,,,,6.685258,800.5174
5050,6.743640,3766.18,2029.14,,,2029.14,103.86,407192.59,,,,67.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.99,
5100,6.874575,5405.70,2029.14,,,2029.14,104.41,407193.14,,,,68.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.75,
