step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
2000,8.382541,4412.74,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2838.42,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.29,
2000,,,,7.213139,1357.1458
2050,8.539231,3969.95,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2850.82,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.67,
2100,8.438578,4404.85,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2846.82,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.84,
2150,8.478409,4411.51,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2852.26,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.13,
2200,8.233382,4338.36,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2850.08,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.50,
2250,8.913663,4322.54,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2851.37,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.86,
2300,8.388504,4352.44,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2837.90,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.71,
2350,8.413522,4334.68,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2847.38,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.57,
2400,8.705881,4399.07,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2847.09,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.92,
